#Person location Sublocation StartTime EndTime Type
400152 99400152 1001 86380 86390 1
400581 99400581 1001 86380 86390 1
400583 99400583 1001 86380 86390 1
400963 99400963 1001 86380 86390 1
401443 99401443 1001 86380 86390 1
401506 99401506 1001 86380 86390 1
402903 99402903 1001 86380 86390 1
403303 99403303 1001 86380 86390 1
403601 99403601 1001 86380 86390 1
404504 99404504 1001 86380 86390 1
404743 99404743 1001 86380 86390 1
405205 99405205 1001 86380 86390 1
405419 99405419 1001 86380 86390 1
405729 99405729 1001 86380 86390 1
405740 99405740 1001 86380 86390 1
406029 99406029 1001 86380 86390 1
406146 99406146 1001 86380 86390 1
406266 99406266 1001 86380 86390 1
406639 99406639 1001 86380 86390 1
406705 99406705 1001 86380 86390 1
406823 99406823 1001 86380 86390 1
407174 99407174 1001 86380 86390 1
407346 99407346 1001 86380 86390 1
407725 99407725 1001 86380 86390 1
408556 99408556 1001 86380 86390 1
408801 99408801 1001 86380 86390 1
408796 99408796 1001 86380 86390 1
409239 99409239 1001 86380 86390 1
409376 99409376 1001 86380 86390 1
409711 99409711 1001 86380 86390 1
410012 99410012 1001 86380 86390 1
410063 99410063 1001 86380 86390 1
410278 99410278 1001 86380 86390 1
410608 99410608 1001 86380 86390 1
410715 99410715 1001 86380 86390 1
410845 99410845 1001 86380 86390 1
412202 99412202 1001 86380 86390 1
413420 99413420 1001 86380 86390 1
413617 99413617 1001 86380 86390 1
413037 99413037 1001 86380 86390 1
412717 99412717 1001 86380 86390 1
414722 99414722 1001 86380 86390 1
414886 99414886 1001 86380 86390 1
415711 99415711 1001 86380 86390 1
416613 99416613 1001 86380 86390 1
416769 99416769 1001 86380 86390 1
416992 99416992 1001 86380 86390 1
416499 99416499 1001 86380 86390 1
416218 99416218 1001 86380 86390 1
416325 99416325 1001 86380 86390 1
415838 99415838 1001 86380 86390 1
416106 99416106 1001 86380 86390 1
417325 99417325 1001 86380 86390 1
417674 99417674 1001 86380 86390 1
417676 99417676 1001 86380 86390 1
419680 99419680 1001 86380 86390 1
419762 99419762 1001 86380 86390 1
419905 99419905 1001 86380 86390 1
419328 99419328 1001 86380 86390 1
420494 99420494 1001 86380 86390 1
420780 99420780 1001 86380 86390 1
421876 99421876 1001 86380 86390 1
421314 99421314 1001 86380 86390 1
421504 99421504 1001 86380 86390 1
421235 99421235 1001 86380 86390 1
422250 99422250 1001 86380 86390 1
421262 99421262 1001 86380 86390 1
423309 99423309 1001 86380 86390 1
423215 99423215 1001 86380 86390 1
423938 99423938 1001 86380 86390 1
423816 99423816 1001 86380 86390 1
424115 99424115 1001 86380 86390 1
425209 99425209 1001 86380 86390 1
425245 99425245 1001 86380 86390 1
424904 99424904 1001 86380 86390 1
424830 99424830 1001 86380 86390 1
424775 99424775 1001 86380 86390 1
424229 99424229 1001 86380 86390 1
